㐀	QIU1	ㄑㄧㄡ1
㐁	TIAN3 TIAN4	ㄊㄧㄢ3 ㄊㄧㄢ4
㐄	KUA4	ㄎㄨㄚ4
㐅	WU3	ㄨ3
㐆	YIN3	ㄧㄣ3
㐌	SI4 YI2	ㄙ4 ㄧ2
㐖	YE4	ㄧㄝ4
㐜	CHOU2	ㄔㄡ2
㐡	NUO4	ㄋㄨㄛ4
㐤	QIU2	ㄑㄧㄡ2
㐨	XU4	ㄒㄨ4
㐩	XING2	ㄒㄧㄥ2
㐫	XIONG1	ㄒㄩㄥ1
㐬	LIU2	ㄌㄧㄡ2
㐭	LIN3	ㄌㄧㄣ3
㐮	XIANG1	ㄒㄧㄤ1
㐯	YONG1	ㄩㄥ1
㐰	XIN4	ㄒㄧㄣ4
㐱	ZHEN3	ㄓㄣ3
㐲	DAI4	ㄉㄞ4
㐳	WU4	ㄨ4
㐴	PAN1	ㄆㄢ1
㐷	MA3 MA4 MIAN2	ㄇㄚ3 ㄇㄚ4 ㄇㄧㄢ2
㐸	QIAN4	ㄑㄧㄢ4
㐹	YI4	ㄧ4
㐺	ZHONG4	ㄓㄨㄥ4
㐻	N3 NEI4 NG3	ㄋ3 ㄋㄟ4 ㄋㄍ3
㐼	CHENG4 ZHENG3	ㄔㄥ4 ㄓㄥ3
㑁	ZHUO1	ㄓㄨㄛ1
㑂	FANG3 PANG2	ㄈㄤ3 ㄆㄤ2
㑃	AO3	ㄠ3
㑄	WU3	ㄨ3
㑅	ZUO4	ㄗㄨㄛ4
㑇	ZHOU4	ㄓㄡ4
㑈	DONG4	ㄉㄨㄥ4
㑉	SU4	ㄙㄨ4
㑊	YI4	ㄧ4
㑋	JIONG4 KONG3 QIONG2	ㄐㄩㄥ4 ㄎㄨㄥ3 ㄑㄩㄥ2
㑌	WANG1 KUANG1	ㄨㄤ1 ㄎㄨㄤ1
㑍	LEI3 LEI4	ㄌㄟ3 ㄌㄟ4
㑎	NAO3	ㄋㄠ3
㑏	ZHU4	ㄓㄨ4
㑔	XU3	ㄒㄨ3
㑘	JIE4	ㄐㄧㄝ4
㑙	DIE2 YONG3	ㄉㄧㄝ2 ㄩㄥ3
㑚	NUO2	ㄋㄨㄛ2
㑛	SU4	ㄙㄨ4
㑜	YI4	ㄧ4
㑝	LONG4	ㄌㄨㄥ4
㑞	YING4	ㄧㄥ4
㑟	BENG3 BO2 PENG3	ㄅㄥ3 ㄅㄛ2 ㄆㄥ3
㑣	LAN2	ㄌㄢ2
㑤	MIAO2	ㄇㄧㄠ2
㑥	YI4	ㄧ4
㑦	LI4	ㄌㄧ4
㑧	JI4	ㄐㄧ4
㑨	YU3	ㄩ3
㑩	LUO2	ㄌㄨㄛ2
㑪	CHAI2	ㄔㄞ2
㑮	HUN2	ㄏㄨㄣ2
㑯	XU3	ㄒㄨ3
㑰	HUI4	ㄏㄨㄟ4
㑱	RAO3	ㄖㄠ3
㑳	ZHOU4	ㄓㄡ4
㑵	HAN4 JI2 JIE2 ZHA3 ZI2	ㄏㄢ4 ㄐㄧ2 ㄐㄧㄝ2 ㄓㄚ3 ㄗ2
㑶	XI4	ㄒㄧ4
㑷	TAI4 TIAN4 ZHUAN4	ㄊㄞ4 ㄊㄧㄢ4 ㄓㄨㄢ4
㑸	AI3 YAO2 YOU2	ㄞ3 ㄧㄠ2 ㄧㄡ2
㑹	HUI4	ㄏㄨㄟ4
㑺	JUN4	ㄐㄨㄣ4
㑻	MA4	ㄇㄚ4
㑼	LVE4	ㄌㄩㄜ4
㑽	TANG2	ㄊㄤ2
㑾	XIAO2 YAO2	ㄒㄧㄠ2 ㄧㄠ2
㑿	TIAO2 ZHAO4	ㄊㄧㄠ2 ㄓㄠ4
㒀	ZHA3	ㄓㄚ3
㒁	YU3 YUN4	ㄩ3 ㄩㄣ4
㒂	KU4 ZHUO2	ㄎㄨ4 ㄓㄨㄛ2
㒃	ER4	ㄦ4
㒄	NANG4 NEN4 RAN3	ㄋㄤ4 ㄋㄣ4 ㄖㄢ3
㒅	QI3	ㄑㄧ3
㒆	CHI4 KE4 XI4 XIAO4 YAN4	ㄔ4 ㄎㄜ4 ㄒㄧ4 ㄒㄧㄠ4 ㄧㄢ4
㒇	MU4 WU3	ㄇㄨ4 ㄨ3
㒈	HAN4	ㄏㄢ4
㒉	TANG3	ㄊㄤ3
㒊	SE4	ㄙㄜ4
㒌	QIONG2	ㄑㄩㄥ2
㒍	LEI2 LEI3	ㄌㄟ2 ㄌㄟ3
㒎	SA3 SA4 TAN4	ㄙㄚ3 ㄙㄚ4 ㄊㄢ4
㒑	HUI4 KUI3	ㄏㄨㄟ4 ㄎㄨㄟ3
㒒	PU2	ㄆㄨ2
㒓	TA4	ㄊㄚ4
㒔	SHU3	ㄕㄨ3
㒖	OU3	ㄡ3
㒗	TAI2	ㄊㄞ2
㒙	MIAN2	ㄇㄧㄢ2
㒚	WEN3	ㄨㄣ3
㒛	DIAO4	ㄉㄧㄠ4
㒜	YU2 YU3	ㄩ2 ㄩ3
㒝	MIE4 WA4	ㄇㄧㄝ4 ㄨㄚ4
㒞	JUN4 KE3	ㄐㄨㄣ4 ㄎㄜ3
㒟	NIAO3	ㄋㄧㄠ3
㒠	XIE4	ㄒㄧㄝ4
㒡	YOU2	ㄧㄡ2
㒤	SHE4	ㄕㄜ4
㒦	LEI3	ㄌㄟ3
㒧	LI4	ㄌㄧ4
㒩	LUO3	ㄌㄨㄛ3
㒫	JI4	ㄐㄧ4
㒰	QUAN2	ㄑㄨㄢ2
㒲	CAI2	ㄘㄞ2
㒳	LIANG3	ㄌㄧㄤ3
㒴	GU3	ㄍㄨ3
㒵	MAO4	ㄇㄠ4
㒷	GUA3 XING4 XU3	ㄍㄨㄚ3 ㄒㄧㄥ4 ㄒㄨ3
㒸	SUI4 XUAN2	ㄙㄨㄟ4 ㄒㄨㄢ2
㒻	MAO4	ㄇㄠ4
㒼	MAN2	ㄇㄢ2
㒾	SHI4	ㄕ4
㒿	LI2 LI4	ㄌㄧ2 ㄌㄧ4
㓁	WANG3	ㄨㄤ3
㓂	KOU4	ㄎㄡ4
㓃	CHUI2 DU4 ZHA4	ㄔㄨㄟ2 ㄉㄨ4 ㄓㄚ4
㓄	ZHEN4	ㄓㄣ4
㓈	BING4 BEI4 FEI4 YE4	ㄅㄧㄥ4 ㄅㄟ4 ㄈㄟ4 ㄧㄝ4
㓉	HUAN4 HUO2 HUO4	ㄏㄨㄢ4 ㄏㄨㄛ2 ㄏㄨㄛ4
㓊	DONG4	ㄉㄨㄥ4
㓋	GONG4	ㄍㄨㄥ4
㓎	LIAN2 QIN3 QIN4	ㄌㄧㄢ2 ㄑㄧㄣ3 ㄑㄧㄣ4
㓏	JIONG3	ㄐㄩㄥ3
㓐	LU4	ㄌㄨ4
㓑	XING4	ㄒㄧㄥ4
㓓	NAN2	ㄋㄢ2
㓔	XIE4	ㄒㄧㄝ4
㓖	BI4 BIE2	ㄅㄧ4 ㄅㄧㄝ2
㓗	JIE2 QI3	ㄐㄧㄝ2 ㄑㄧ3
㓘	SU4	ㄙㄨ4
㓜	YOU4	ㄧㄡ4
㓝	XING2	ㄒㄧㄥ2
㓞	QI4 QIA4 YAO2	ㄑㄧ4 ㄑㄧㄚ4 ㄧㄠ2
㓠	DIAN4	ㄉㄧㄢ4
㓡	FU3	ㄈㄨ3
㓢	LUO4	ㄌㄨㄛ4
㓣	QIA4	ㄑㄧㄚ4
㓤	JIE2 QIA4	ㄐㄧㄝ2 ㄑㄧㄚ4
㓧	YAN3	ㄧㄢ3
㓨	CI2 CI4	ㄘ2 ㄘ4
㓪	LANG3	ㄌㄤ3
㓭	HE2	ㄏㄜ2
㓯	LI2	ㄌㄧ2
㓰	HUA4	ㄏㄨㄚ4
㓱	TOU2	ㄊㄡ2
㓲	PIAN4	ㄆㄧㄢ4
㓴	JUN4 RUAN3	ㄐㄨㄣ4 ㄖㄨㄢ3
㓵	E4	ㄜ4
㓶	QIE4	ㄑㄧㄝ4
㓷	YI4	ㄧ4
㓸	JUE2 ZHUO2	ㄐㄩㄝ2 ㄓㄨㄛ2
㓹	RUI4	ㄖㄨㄟ4
㓺	JIAN4	ㄐㄧㄢ4
㓼	CHI4 CHONG4	ㄔ4 ㄔㄨㄥ4
㓽	CHONG2	ㄔㄨㄥ2
㓾	CHI2	ㄔ2
㔀	LVE4 QING2	ㄌㄩㄜ4 ㄑㄧㄥ2
㔂	LIN2	ㄌㄧㄣ2
㔃	JUE2 PI4	ㄐㄩㄝ2 ㄆㄧ4
㔄	SU4	ㄙㄨ4
㔅	XIAO4	ㄒㄧㄠ4
㔆	CHAN2	ㄔㄢ2
㔉	ZHU2	ㄓㄨ2
㔊	DAN3	ㄉㄢ3
㔋	JIAN4 LAN2 LAN4	ㄐㄧㄢ4 ㄌㄢ2 ㄌㄢ4
㔌	ZHOU4	ㄓㄡ4
㔍	DUO3 ZHA2	ㄉㄨㄛ3 ㄓㄚ2
㔎	XIE4 YI4	ㄒㄧㄝ4 ㄧ4
㔏	LI4	ㄌㄧ4
㔑	CHI4 DAO4 QI4 SHUI4	ㄔ4 ㄉㄠ4 ㄑㄧ4 ㄕㄨㄟ4
㔒	XI2	ㄒㄧ2
㔓	JIAN3 XIAN4	ㄐㄧㄢ3 ㄒㄧㄢ4
㔕	JI2 YI4	ㄐㄧ2 ㄧ4
㔗	FEI4	ㄈㄟ4
㔘	CHU4	ㄔㄨ4
㔙	BANG3 PENG2	ㄅㄤ3 ㄆㄥ2
㔚	KOU3	ㄎㄡ3
㔜	BA2 BO2	ㄅㄚ2 ㄅㄛ2
㔝	LIANG3	ㄌㄧㄤ3
㔞	KUAI4 KUANG4 WANG4	ㄎㄨㄞ4 ㄎㄨㄤ4 ㄨㄤ4
㔠	HE2 JIA2	ㄏㄜ2 ㄐㄧㄚ2
㔢	JUE2	ㄐㄩㄝ2
㔣	LEI2 LEI4	ㄌㄟ2 ㄌㄟ4
㔤	SHEN3	ㄕㄣ3
㔥	PI2	ㄆㄧ2
㔦	YANG3	ㄧㄤ3
㔧	LV4 XUE4	ㄌㄩ4 ㄒㄩㄝ4
㔨	BEI4	ㄅㄟ4
㔩	E4	ㄜ4
㔪	LU3	ㄌㄨ3
㔭	CHE4 CHI2 YI2	ㄔㄜ4 ㄔ2 ㄧ2
㔮	NUO2	ㄋㄨㄛ2
㔯	SUAN3 XUAN2	ㄙㄨㄢ3 ㄒㄨㄢ2
㔰	HENG2	ㄏㄥ2
㔱	YU3	ㄩ3
㔳	GUI3 GUN4 HUAN2 JUE2	ㄍㄨㄟ3 ㄍㄨㄣ4 ㄏㄨㄢ2 ㄐㄩㄝ2
㔴	YI4	ㄧ4
㔵	XIAN4 XUAN3	ㄒㄧㄢ4 ㄒㄨㄢ3
㔶	GONG4	ㄍㄨㄥ4
㔷	LOU4	ㄌㄡ4
㔹	LE4	ㄌㄜ4
㔺	SHI4	ㄕ4
㔼	SUN3	ㄙㄨㄣ3
㔽	YAO4 YOU3	ㄧㄠ4 ㄧㄡ3
㔾	JIE2	ㄐㄧㄝ2
㔿	ZOU4	ㄗㄡ4
㕁	QUE4	ㄑㄩㄝ4
㕂	YIN2	ㄧㄣ2
㕄	ZHI4	ㄓ4
㕅	JIA3	ㄐㄧㄚ3
㕆	HU4	ㄏㄨ4
㕇	LA2	ㄌㄚ2
㕈	HOU4 YI3	ㄏㄡ4 ㄧ3
㕉	KE4	ㄎㄜ4
㕋	JING4 QIN2	ㄐㄧㄥ4 ㄑㄧㄣ2
㕌	AI4	ㄞ4
㕎	E4 KE4 KUN3	ㄜ4 ㄎㄜ4 ㄎㄨㄣ3
㕏	CHU2	ㄔㄨ2
㕐	XIE3	ㄒㄧㄝ3
㕑	CHU2	ㄔㄨ2
㕒	WEI2 WEI3	ㄨㄟ2 ㄨㄟ3
㕕	HUAN4	ㄏㄨㄢ4
㕖	SU4	ㄙㄨ4
㕗	YOU4	ㄧㄡ4
㕙	JUN4 RUI4	ㄐㄨㄣ4 ㄖㄨㄟ4
㕚	ZHAO3	ㄓㄠ3
㕛	XU4 YOU3 YOU4	ㄒㄨ4 ㄧㄡ3 ㄧㄡ4
㕜	SHI3	ㄕ3
㕟	KUI4	ㄎㄨㄟ4
㕡	HE2 HE4 HUO4	ㄏㄜ2 ㄏㄜ4 ㄏㄨㄛ4
㕢	GAI4 HAI4 JU4 LUN3 NOU3	ㄍㄞ4 ㄏㄞ4 ㄐㄨ4 ㄌㄨㄣ3 ㄋㄡ3
㕣	YAN3 YAN4	ㄧㄢ3 ㄧㄢ4
㕤	QIU2	ㄑㄧㄡ2
㕥	YI3	ㄧ3
㕦	HUA4	ㄏㄨㄚ4
㕨	FAN4	ㄈㄢ4
㕩	ZHANG4	ㄓㄤ4
㕪	DAN3	ㄉㄢ3
㕫	FANG3	ㄈㄤ3
㕬	SONG4	ㄙㄨㄥ4
㕭	AO4 BI4	ㄠ4 ㄅㄧ4
㕮	FU3 TIAO4	ㄈㄨ3 ㄊㄧㄠ4
㕯	NEI4	ㄋㄟ4
㕰	HE4	ㄏㄜ4
㕱	YOU2	ㄧㄡ2
㕲	HUA2 YING2	ㄏㄨㄚ2 ㄧㄥ2
㕴	CHEN2	ㄔㄣ2
㕵	GUO2 HUN2 LUO3	ㄍㄨㄛ2 ㄏㄨㄣ2 ㄌㄨㄛ3
㕶	NG4	ㄋㄍ4
㕷	HUA4	ㄏㄨㄚ4
㕸	LI4	ㄌㄧ4
㕹	FA2	ㄈㄚ2
㕺	HAO2	ㄏㄠ2
㕻	POU3 TOU4	ㄆㄡ3 ㄊㄡ4
㕽	SI4	ㄙ4
㖀	LE4 LUO4	ㄌㄜ4 ㄌㄨㄛ4
㖁	LIN4	ㄌㄧㄣ4
㖂	YI4	ㄧ4
㖃	HOU3	ㄏㄡ3
㖅	XU4	ㄒㄨ4
㖆	QU2 QU3	ㄑㄨ2 ㄑㄨ3
㖇	ER2	ㄦ2
㖏	NEI4	ㄋㄟ4
㖐	WEI3	ㄨㄟ3
㖑	XIE4	ㄒㄧㄝ4
㖒	TI2	ㄊㄧ2
㖓	HONG2	ㄏㄨㄥ2
㖔	TUN3	ㄊㄨㄣ3
㖕	BO4 NIE4	ㄅㄛ4 ㄋㄧㄝ4
㖖	NIE4	ㄋㄧㄝ4
㖗	YIN2	ㄧㄣ2
㖞	WAI1	ㄨㄞ1
㖟	SHOU4	ㄕㄡ4
㖠	BA4 NUO4	ㄅㄚ4 ㄋㄨㄛ4
㖡	YE4	ㄧㄝ4
㖢	JI2 QI2	ㄐㄧ2 ㄑㄧ2
㖣	TOU4	ㄊㄡ4
㖤	HAN2	ㄏㄢ2
㖥	JIONG3	ㄐㄩㄥ3
㖦	DONG3	ㄉㄨㄥ3
㖧	WEN3	ㄨㄣ3
㖨	LU4	ㄌㄨ4
㖩	SOU3	ㄙㄡ3
㖪	GUO2	ㄍㄨㄛ2
㖫	LING2	ㄌㄧㄥ2
㖭	TIAN3	ㄊㄧㄢ3
