 n01440764	丁鯛
 n01443537	金魚
 n01484850	大白鯊
 n01491361	虎鯊
 n01494475	錘頭鯊
 n01496331	電鰩
 n01498041	黃貂魚
 n01514668	公鶏
 n01514859	母鶏
 n01518878	鴕鳥
 n01530575	燕雀
 n01531178	金翅雀
 n01532829	家朱雀
 n01534433	燈芯草雀
 n01537544	靛藍雀
 n01558993	藍鵐
 n01560419	夜鶯
 n01580077	松鴉
 n01582220	喜鵲
 n01592084	山雀
 n01601694	河鳥
 n01608432	鳶（猛禽）
 n01614925	禿頭鷹
 n01616318	禿鷲
 n01622779	大灰猫頭鷹
 n01629819	歐洲火蠑螈
 n01630670	普通蠑螈
 n01631663	水蜥
 n01632458	斑點蠑螈
 n01632777	蠑螈
 n01641577	牛蛙
 n01644373	樹蛙
 n01644900	尾蛙
 n01664065	紅海龜
 n01665541	皮革龜
 n01667114	泥龜
 n01667778	淡水龜
 n01669191	箱龜
 n01675722	帶狀壁虎
 n01677366	普通鬣蜥
 n01682714	美國變色龍
 n01685808	鞭尾蜥蜴
 n01687978	飛龍科蜥蜴
 n01688243	褶邊蜥蜴
 n01689811	鰐魚蜥蜴
 n01692333	毒蜥
 n01693334	綠蜥蜴
 n01694178	非洲變色龍
 n01695060	科莫多蜥蜴
 n01697457	非洲鰐
 n01698640	美國鰐魚
 n01704323	三角龍
 n01728572	雷蛇
 n01728920	環蛇
 n01729322	希臘蛇
 n01729977	綠蛇
 n01734418	國王蛇
 n01735189	襪帶蛇
 n01737021	水蛇
 n01739381	藤蛇
 n01740131	夜蛇
 n01742172	大蟒蛇
 n01744401	岩石蟒蛇
 n01748264	印度眼鏡蛇
 n01749939	綠曼巴
 n01751748	海蛇
 n01753488	角腹蛇
 n01755581	菱紋響尾蛇
 n01756291	角響尾蛇
 n01768244	三葉蟲
 n01770081	盲蜘蛛
 n01770393	蝎子
 n01773157	黑金花園蜘蛛
 n01773549	穀倉蜘蛛
 n01773797	花園蜘蛛
 n01774384	黑寡婦蜘蛛
 n01774750	狼蛛
 n01775062	狼蜘蛛
 n01776313	壁虱
 n01784675	蜈蚣
 n01795545	黑松鶏
 n01796340	松鶏
 n01797886	披肩鶏
 n01798484	草原鶏
 n01806143	孔雀
 n01806567	鵪鶉
 n01807496	鷓鴣
 n01817953	非洲灰鸚鵡
 n01818515	金剛鸚鵡
 n01819313	硫冠鸚鵡
 n01820546	短尾鸚鵡
 n01824575	褐翅鴉鵑
 n01828970	蜜蜂
 n01829413	犀鳥
 n01833805	蜂鳥
 n01843065	鶲䴕
 n01843383	犀鳥
 n01847000	野鴨
 n01855032	紅胸秋沙鴨
 n01855672	鵝
 n01860187	黑天鵝
 n01871265	大象
 n01872401	針鼹鼠
 n01873310	鴨嘴獸
 n01877812	沙袋鼠
 n01882714	考拉
 n01883070	袋熊
 n01910747	水母
 n01914609	海葵
 n01917289	腦珊瑚
 n01924916	扁形蟲扁蟲
 n01930112	綫蟲
 n01943899	海螺
 n01944390	蝸牛
 n01945685	鼻涕蟲
 n01950731	海參
 n01955084	石鱉
 n01968897	鸚鵡螺
 n01978287	珍寶蟹
 n01978455	石蟹
 n01980166	招潮蟹
 n01981276	帝王蟹
 n01983481	美國龍蝦
 n01984695	大螯蝦
 n01985128	小龍蝦
 n01986214	寄居蟹
 n01990800	等足目動物(明蝦和螃蟹近親)
 n02002556	白鸛
 n02002724	黑鸛
 n02006656	鷺
 n02007558	火烈鳥
 n02009229	小藍鷺
 n02009912	美國鷺
 n02011460	麻鴉
 n02012849	鶴
 n02013706	秧鶴
 n02017213	歐洲水鶏
 n02018207	沼澤泥母鶏
 n02018795	鴇
 n02025239	紅翻石鷸
 n02027492	紅背鷸
 n02028035	紅脚鷸
 n02033041	半蹼鷸
 n02037110	蠣鷸
 n02051845	鵜鶘
 n02056570	國王企鵝
 n02058221	信天翁
 n02066245	灰鯨
 n02071294	殺人鯨
 n02074367	海牛
 n02077923	海獅
 n02085620	奇瓦瓦
 n02085782	日本獵犬
 n02085936	馬爾濟斯犬
 n02086079	獅子狗
 n02086240	西施犬
 n02086646	布萊尼姆獵犬
 n02086910	巴比狗
 n02087046	玩具犬
 n02087394	羅得西亞長背獵狗
 n02088094	阿富汗獵犬
 n02088238	獵犬
 n02088364	比格犬
 n02088466	偵探犬
 n02088632	藍色快狗
 n02089078	黑褐獵浣熊犬
 n02089867	沃克獵犬
 n02089973	英國獵狐犬
 n02090379	美洲赤狗
 n02090622	俄羅斯獵狼犬
 n02090721	愛爾蘭獵狼犬
 n02091032	意大利灰狗
 n02091134	惠比特犬
 n02091244	依比沙獵犬
 n02091467	挪威獵犬
 n02091635	奧達獵犬
 n02091831	沙克犬
 n02092002	蘇格蘭獵鹿犬
 n02092339	威瑪獵犬
 n02093256	斯塔福德郡牛頭梗
 n02093428	美國斯塔福德郡梗
 n02093647	貝德靈頓梗
 n02093754	邊境梗
 n02093859	凱麗藍梗
 n02093991	愛爾蘭梗
 n02094114	諾福克梗
 n02094258	諾維奇梗
 n02094433	約克郡梗
 n02095314	剛毛獵狐梗
 n02095570	萊克蘭梗
 n02095889	錫利哈姆梗
 n02096051	艾爾穀犬
 n02096177	凱恩梗
 n02096294	澳大利亞梗
 n02096437	丹迪丁蒙梗
 n02096585	波士頓梗
 n02097047	迷你雪納瑞犬
 n02097130	巨型雪納瑞犬
 n02097209	標準雪納瑞犬
 n02097298	蘇格蘭梗
 n02097474	西藏梗
 n02097658	絲毛梗
 n02098105	軟毛麥色梗
 n02098286	西高地白梗
 n02098413	拉薩阿普索犬
 n02099267	平毛尋回犬
 n02099429	卷毛尋回犬
 n02099601	金毛獵犬
 n02099712	拉布拉多獵犬
 n02099849	乞沙比克獵犬
 n02100236	德國短毛獵犬
 n02100583	維茲拉犬
 n02100735	英國諜犬
 n02100877	愛爾蘭雪達犬
 n02101006	戈登雪達犬
 n02101388	布列塔尼犬獵犬
 n02101556	黃毛
 n02102040	英國史賓格犬
 n02102177	威爾士史賓格犬
 n02102318	可卡犬
 n02102480	薩塞克斯獵犬
 n02102973	愛爾蘭水獵犬
 n02104029	哥威斯犬
 n02104365	舒柏奇犬
 n02105056	比利時牧羊犬
 n02105162	馬裏努阿犬
 n02105251	伯瑞犬
 n02105412	凱爾皮犬
 n02105505	匈牙利牧羊犬
 n02105641	老英國牧羊犬
 n02105855	喜樂蒂牧羊犬
 n02106030	牧羊犬
 n02106166	邊境牧羊犬
 n02106382	法蘭德斯牧牛狗
 n02106550	羅特韋爾犬
 n02106662	德國牧羊犬
 n02107142	多伯曼犬
 n02107312	迷你杜賓犬
 n02107574	大瑞士山地犬
 n02107683	伯恩山犬
 n02107908	Appenzeller狗
 n02108000	EntleBucher狗
 n02108089	拳師狗
 n02108422	鬥牛獒
 n02108551	藏獒
 n02108915	法國鬥牛犬
 n02109047	大丹犬
 n02109525	聖伯納德狗
 n02109961	愛斯基摩犬
 n02110063	雪橇犬
 n02110185	哈士奇
 n02110341	達爾馬提亞
 n02110627	獅毛狗
 n02110806	巴辛吉狗
 n02110958	哈巴狗
 n02111129	萊昂貝格狗
 n02111277	紐芬蘭島狗
 n02111500	大白熊犬
 n02111889	薩摩耶犬
 n02112018	博美犬
 n02112137	松獅
 n02112350	荷蘭卷尾獅毛狗
 n02112706	布魯塞爾格林芬犬
 n02113023	彭布洛克威爾士科基犬
 n02113186	威爾士柯基犬
 n02113624	玩具貴賓犬
 n02113712	迷你貴賓犬
 n02113799	標準貴賓犬
 n02113978	墨西哥無毛犬
 n02114367	灰狼
 n02114548	白狼
 n02114712	紅太狼
 n02114855	狼
 n02115641	澳洲野狗
 n02115913	豺
 n02116738	非洲獵犬
 n02117135	鬣狗
 n02119022	紅狐狸
 n02119789	沙狐
 n02120079	北極狐狸
 n02120505	灰狐狸
 n02123045	虎斑猫
 n02123159	山猫
 n02123394	波斯猫
 n02123597	暹羅暹羅猫
 n02124075	埃及猫
 n02125311	美洲獅
 n02127052	猞猁
 n02128385	豹子
 n02128757	雪豹
 n02128925	美洲虎
 n02129165	獅子
 n02129604	老虎
 n02130308	獵豹
 n02132136	棕熊
 n02133161	美洲黑熊
 n02134084	冰熊
 n02134418	懶熊
 n02137549	猫鼬
 n02138441	猫鼬
